"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"305",13,"Jake Tonges",SF,"TE38","8","3 out of 5 stars","-65"
"306",13,"LeQuint Allen Jr.",JAC,"RB91","7","4 out of 5 stars","-44"
"307",13,"Kirk Cousins",LV,"QB35","13","1 out of 5 stars","-61"
"308",13,"Indianapolis Colts",IND,"DST19","13","5 out of 5 stars","-"
"309",13,"Isaiah Bond",CLE,"WR108","11","3 out of 5 stars","-43"
"310",13,"Ja'Kobi Lane",BAL,"WR109","13","4 out of 5 stars","-72"
"311",13,"Skyler Bell",BUF,"WR110","7","4 out of 5 stars","-68"
"312",13,"Isaac Guerendo",SF,"RB92","8","2 out of 5 stars","-"
"313",13,"Trevor Etienne",CAR,"RB93","5","1 out of 5 stars","-24"
"314",13,"Tahj Brooks",CIN,"RB94","6","2 out of 5 stars","-36"
"315",13,"Andrei Iosivas",CIN,"WR111","6","4 out of 5 stars","-78"
"316",13,"New Orleans Saints",NO,"DST20","8","5 out of 5 stars","-"
"317",13,"Chicago Bears",CHI,"DST21","10","2 out of 5 stars","-"
"318",13,"Joe Mixon",FA,"RB95","-","-","-4"
"319",13,"Jaleel McLaughlin",DEN,"RB96","10","2 out of 5 stars","-"
"320",13,"Darnell Washington",PIT,"TE39","9","2 out of 5 stars","-90"
"321",13,"Jarquez Hunter",LAR,"RB97","11","5 out of 5 stars","+65"
"322",13,"Kareem Hunt",FA,"RB98","-","-","+41"
"323",13,"Luke McCaffrey",WAS,"WR112","7","2 out of 5 stars","+14"
"324",13,"Cedric Tillman",CLE,"WR113","11","3 out of 5 stars","-"
"325",13,"Tez Johnson",TB,"WR114","10","4 out of 5 stars","-43"
"326",13,"Audric Estime",NO,"RB99","8","3 out of 5 stars","-"
"327",13,"J.J. McCarthy",MIN,"QB36","6","5 out of 5 stars","-69"
"328",13,"Max Klare",LAR,"TE40","11","4 out of 5 stars","+14"
"329",13,"Konata Mumpfield",LAR,"WR115","11","1 out of 5 stars","-4"
"330",13,"Calvin Austin III",NYG,"WR116","8","4 out of 5 stars","-34"
"331",13,"Will Shipley",PHI,"RB100","10","4 out of 5 stars","-2"
"332",14,"Jahan Dotson",ATL,"WR117","11","3 out of 5 stars","-78"
"333",14,"Jalen Royals",KC,"WR118","5","2 out of 5 stars","-7"
"334",14,"Caleb Douglas",MIA,"WR119","6","3 out of 5 stars","-81"
"335",14,"Tyler Higbee",LAR,"TE41","11","4 out of 5 stars","+35"
"336",14,"Olamide Zaccheaus",ATL,"WR120","11","3 out of 5 stars","+4"
"337",14,"Joshua Palmer",BUF,"WR121","7","4 out of 5 stars","-38"
"338",14,"Elijah Arroyo",SEA,"TE42","11","3 out of 5 stars","-52"
"339",14,"Noah Gray",KC,"TE43","5","4 out of 5 stars","-15"
"340",14,"Mac Jones",SF,"QB37","8","1 out of 5 stars","-36"
"341",14,"Michael Mayer",LV,"TE44","13","3 out of 5 stars","-107"
"342",14,"Dawson Knox",BUF,"TE45","7","3 out of 5 stars","-83"
"343",14,"Jalen Tolbert",MIA,"WR122","6","3 out of 5 stars","-87"
"344",14,"Ja'Tavion Sanders",CAR,"TE46","5","2 out of 5 stars","-84"
"345",14,"Bam Knight",ARI,"RB101","14","2 out of 5 stars","-"
"346",14,"Cole Kmet",CHI,"TE47","10","2 out of 5 stars","-66"
"347",14,"Carolina Panthers",CAR,"DST22","5","3 out of 5 stars","-"
"348",14,"DeMario Douglas",NE,"WR123","11","2 out of 5 stars","-7"
"349",14,"J'Mari Taylor",JAC,"RB102","7","4 out of 5 stars","-"
"350",14,"Brenen Thompson",LAC,"WR124","7","2 out of 5 stars","-82"
"351",14,"Carson Beck",ARI,"QB38","14","2 out of 5 stars","-99"
"352",14,"Xavier Hutchinson",HOU,"WR125","8","3 out of 5 stars","-8"
"353",14,"Ty Simpson",LAR,"QB39","11","3 out of 5 stars","+26"
"354",14,"Dont'e Thornton Jr.",LV,"WR126","13","2 out of 5 stars","+1"
"355",14,"Dallas Cowboys",DAL,"DST23","14","1 out of 5 stars","-"
"356",14,"Eli Heidenreich",PIT,"RB103","9","2 out of 5 stars","-17"
"357",14,"Kendrick Bourne",ARI,"WR127","14","2 out of 5 stars","-70"
"358",14,"Justin Fields",KC,"QB40","5","2 out of 5 stars","-88"
"359",14,"Michael Carter",TEN,"RB104","9","3 out of 5 stars","+28"
"360",14,"Tyler Bass",BUF,"K19","7","2 out of 5 stars","-"
"361",14,"Bryce Lance",NO,"WR128","8","3 out of 5 stars","-77"
"362",14,"Jawhar Jordan",HOU,"RB105","8","4 out of 5 stars","-"
"363",14,"Nick Chubb",FA,"RB106","-","-","-"
"364",14,"KaVontae Turpin",DAL,"WR129","14","2 out of 5 stars","-70"
